,Rank,Bank name,Market cap (US$ billion),MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,1,JPMorgan Chase,432.92,346.34,419.93,37122.89
1,2,Bank of America,231.52,185.22,224.57,19852.84
2,3,Industrial and Commercial Bank of China,194.56,155.65,188.72,16683.52
3,4,Agricultural Bank of China,160.68,128.54,155.86,13778.31
4,5,HDFC Bank,157.91,126.33,153.17,13540.78
5,6,Wells Fargo,155.87,124.7,151.19,13365.85
6,7,HSBC Holdings PLC,148.9,119.12,144.43,12768.18
7,8,Morgan Stanley,140.83,112.66,136.61,12076.17
8,9,China Construction Bank,139.82,111.86,135.63,11989.56
9,10,Bank of China,136.81,109.45,132.71,11731.46
